Name,Category,Count,Weight
TE FUNDAMENTALS COURSE AUTHOR LAUNCH 2022,POE,4.00,20.00
Token Engineering @EthCC Paris 2023 - Speaker,POE,7.00,16.00
TE FUNDAMENTALS 1,POK,332.00,7.00
TE FUNDAMENTALS 2,POK,249.00,7.00
TE FUNDAMENTALS 3,POK,168.00,7.00
TE FUNDAMENTALS 4,POK,127.00,7.00
TE FUNDAMENTALS 5,POK,129.00,7.00
NFT-based Reputation in Web3 ,POK,57.00,3.00
Token Engineering Barcamp - Speaker - Paris 2023,POE,12.00,12.00
Token Engineering Barcamp - Paris 2023,POA,23.00,5.00
Token Engineering Barcamp - Team - Paris 2023,POC,11.00,1.00
TE FUNDAMENTALS STUDY GROUP HOST 2022/2023,POC,21.00,10.00
TE FUNDAMENTALS STUDY GROUP HOST C2 2022/2023,POC,1.00,10.00
TE360 STUDY GROUP HOST 2022,POC,0.00,10.00
STUDY_SEASON_REGISTRATION,POA,250.00,1.00
LIVE_TRACK_1,POK,30.00,10.00
LIVE_TRACK_3,POK,30.00,10.00
LIVE_TRACK_4,POK,30.00,10.00
LIVE_TRACK_5,POK,30.00,10.00
LIVE_TRACK_6,POK,30.00,10.00
LIVE_TRACK_7,POK,30.00,10.00
LIVE_TRACK_8,POK,30.00,10.00
FELLOWSHIP_COMM,POE,10.00,16.00
STUDY_SEASON_SPEAKER,POE,8.00,16.00
"TE Fundamentals ""We made it""",POC,20.00,10.00
Set TEF 3&4,F,N/A,5.00
Set TEF ALL,F,N/A,10.00
